against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1557,255,293,0,2219,217,321,16,5,Sydney,142.517662170841,23,68,18
1814,230,270,0,2562,264,382,10,5,Hawthorn,141.234840132304,23,68,18
1989,285,303,0,2193,284,315,7,7,Geelong,110.25641025641,24,68,17
1754,284,273,0,2181,245,318,6,8,Fremantle,124.344355758267,24,64,16
1836,246,323,0,2417,265,349,13,8,"Port Adelaide",131.644880174292,24,56,16
1904,266,303,0,2217,273,319,12,8,"North Melbourne",116.439075630252,24,56,16
1812,228,265,1,1909,264,274,5,10,Essendon,105.353200883002,23,50,12
1916,260,252,0,1962,276,285,14,11,Richmond,102.400835073069,23,48,12
1750,196,245,0,2045,259,300,17,11,"West Coast",116.857142857143,22,44,11
1907,269,285,0,2175,273,315,1,11,Adelaide,114.053487152596,22,44,11
1876,256,254,0,1766,270,252,4,11,Collingwood,94.136460554371,22,44,11
2045,269,249,0,1917,296,278,8,12,"Gold Coast",93.7408312958435,22,40,10
2107,283,235,1,1891,304,276,3,14,Carlton,89.7484575225439,22,30,7
2177,227,242,0,1784,325,257,18,15,"Western Bulldogs",81.9476343592099,22,28,7
2212,292,206,0,1532,320,221,2,15,"Brisbane Lions",69.2585895117541,22,28,7
2320,256,244,0,1780,344,256,9,16,"Greater Western Sydney",76.7241379310345,22,24,6
1954,286,196,0,1336,278,190,11,18,Melbourne,68.3725690890481,22,16,4
2436,258,208,0,1480,363,212,15,18,"St Kilda",60.7553366174056,22,16,4
