against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1938,240,285,0,2661,283,396,5,5,Essendon,137.306501547988,23,68,18
2045,251,346,0,2626,299,380,2,5,"Brisbane Lions",128.41075794621,23,68,18
2006,260,303,0,2529,291,371,13,7,"Port Adelaide",126.071784646062,23,64,16
2086,274,267,0,2169,302,317,14,8,Richmond,103.978906999041,23,60,15
1847,245,299,0,2429,267,355,3,8,Carlton,131.510557661072,23,56,15
2115,297,250,0,2278,303,338,10,9,Hawthorn,107.706855791962,23,52,14
1962,294,287,0,2195,278,318,16,11,Sydney,111.875637104995,23,48,12
2144,242,311,0,2135,317,304,1,11,Adelaide,99.580223880597,23,48,12
2088,252,264,0,2232,306,328,4,11,Collingwood,106.896551724138,22,44,11
2458,274,283,0,2305,364,337,18,12,"Western Bulldogs",93.7754271765663,22,40,10
2364,282,264,0,2136,347,312,11,12,Melbourne,90.3553299492386,22,40,10
2054,230,252,0,1926,304,279,7,13,Geelong,93.7682570593963,22,36,9
2371,259,247,0,2161,352,319,12,13,"North Melbourne",91.1429776465626,22,36,9
2590,310,220,0,1708,380,248,17,17,"West Coast",65.945945945946,22,20,5
2642,308,213,0,1917,389,284,15,18,"St Kilda",72.558667676003,22,16,4
2491,319,246,0,1794,362,258,6,20,Fremantle,72.019269369731,22,8,2
