against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
2118,348,401,0,2759,295,393,14,5,Richmond,130.264400377715,24,68,19
2045,323,338,0,2696,287,393,12,8,"North Melbourne",131.833740831296,26,64,18
1976,314,382,0,2422,277,340,10,9,Hawthorn,122.570850202429,25,60,16
2230,310,321,0,2343,320,337,4,8,Collingwood,105.067264573991,24,60,16
1870,310,304,1,1954,260,275,18,9,"Western Bulldogs",104.491978609626,23,54,13
1989,285,244,0,1858,284,269,7,11,Geelong,93.4137757667169,22,44,11
1941,261,301,1,2053,280,292,3,11,Carlton,105.770221535291,22,42,10
2162,296,316,0,2110,311,299,5,12,Essendon,97.5948196114709,22,40,10
2327,317,303,1,1947,335,274,16,12,Sydney,83.6699613235926,22,38,9
2018,308,284,0,1790,285,251,15,15,"St Kilda",88.7016848364718,22,28,7
2481,339,270,1,1770,357,250,19,17,Fitzroy,71.3422007255139,22,18,4
2385,339,286,0,1840,341,259,11,19,Melbourne,77.1488469601677,22,12,3
