against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
2135,287,295,1,2539,308,374,5,7,Essendon,118.922716627635,22,54,14
2134,298,317,1,2501,306,364,3,6,Carlton,117.197750702905,22,54,15
2270,278,278,0,2666,332,398,12,8,"North Melbourne",117.444933920705,21,52,13
1968,270,287,0,2261,283,329,10,8,Hawthorn,114.888211382114,21,52,13
2021,275,318,0,2346,291,338,1,9,Adelaide,116.081147946561,22,48,13
1828,226,296,0,2108,267,302,17,9,"West Coast",115.317286652079,22,48,13
2109,279,284,0,2354,305,345,7,8,Geelong,111.616880037933,20,48,12
2060,272,274,0,2086,298,302,4,9,Collingwood,101.26213592233,20,44,11
1997,263,256,0,1978,289,287,18,9,"Western Bulldogs",99.0485728592889,20,44,11
1873,259,271,0,2101,269,305,11,10,Melbourne,112.172984516818,20,40,10
2011,265,237,0,2001,291,294,19,10,Fitzroy,99.5027349577325,20,40,10
2166,282,264,0,2040,314,296,15,10,"St Kilda",94.1828254847645,20,40,10
2504,314,248,0,1886,365,273,2,16,"Brisbane Lions",75.3194888178914,20,16,4
2480,272,283,0,1753,368,245,14,16,Richmond,70.6854838709677,20,16,4
2901,309,241,0,1837,432,266,16,19,Sydney,63.3229920716994,20,4,1
