against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1948,250,351,0,2679,283,388,3,4,Carlton,137.525667351129,23,72,19
2106,276,358,0,3082,305,454,10,6,Hawthorn,146.343779677113,25,68,19
2502,336,354,0,2976,361,437,16,9,Sydney,118.9448441247,24,60,15
2575,343,312,1,2442,372,355,12,9,"North Melbourne",94.8349514563107,23,54,13
2219,305,384,0,2574,319,365,11,11,Melbourne,115.99819738621,25,48,14
2348,266,321,1,2355,347,339,7,10,Geelong,100.298126064736,22,46,11
2046,240,279,1,1959,301,280,18,10,"Western Bulldogs",95.7478005865103,22,46,11
2438,326,322,0,2386,352,344,17,11,"West Coast",97.8671041837572,22,44,11
2318,272,239,1,2075,341,306,5,12,Essendon,89.5168248490078,22,38,9
2369,335,242,0,2150,339,318,15,13,"St Kilda",90.7555930772478,22,36,9
2544,318,294,0,2328,371,339,19,14,Fitzroy,91.5094339622642,22,32,8
2425,337,227,0,1853,348,271,4,15,Collingwood,76.4123711340206,22,28,7
2666,356,265,0,2113,385,308,2,16,"Brisbane Lions",79.2573143285821,22,24,6
2667,303,315,0,2199,394,314,14,17,Richmond,82.4521934758155,22,20,5
