against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1922,242,367,0,2911,280,424,10,5,Hawthorn,151.456815816857,24,68,19
2072,272,315,0,2643,300,388,1,7,Adelaide,127.557915057915,25,68,18
1741,247,285,0,2457,249,362,16,6,Sydney,141.125789775991,24,64,18
2114,320,323,0,2363,299,340,4,8,Collingwood,111.778618732261,25,64,17
1946,248,306,0,2466,283,360,17,8,"West Coast",126.72147995889,24,60,16
1982,254,291,0,2289,288,333,7,8,Geelong,115.489404641776,23,60,15
1852,250,257,0,2123,267,311,6,9,Fremantle,114.63282937365,24,56,15
2259,285,265,0,2425,329,360,12,9,"North Melbourne",107.348384240815,23,56,14
1903,247,277,0,2347,276,345,15,10,"St Kilda",123.331581713085,22,48,12
1925,257,285,0,2079,278,299,3,11,Carlton,108,22,44,11
2090,260,297,0,2091,305,299,5,11,Essendon,100.047846889952,22,44,11
1943,239,303,1,2169,284,311,14,11,Richmond,111.631497683994,22,42,10
2092,268,230,0,1904,304,279,2,12,"Brisbane Lions",91.0133843212237,22,40,10
2144,260,233,1,1691,314,243,13,16,"Port Adelaide",78.8712686567164,22,22,5
2301,255,234,0,1542,341,218,18,17,"Western Bulldogs",67.0143415906128,22,20,5
2341,307,236,0,1580,339,224,11,18,Melbourne,67.4925245621529,22,16,4
2481,339,219,0,1509,357,215,8,19,"Gold Coast",60.8222490931076,22,12,3
2751,351,178,0,1270,400,182,9,20,"Greater Western Sydney",46.1650308978553,22,8,2
