against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1890,306,272,1,2312,264,340,16,5,Sydney,122.328042328042,24,66,18
2129,251,371,0,2771,313,400,12,6,"North Melbourne",130.15500234852,24,64,18
2018,284,307,1,2521,289,369,2,7,"Brisbane Lions",124.925668979187,25,62,17
1972,244,299,0,2393,288,349,17,8,"West Coast",121.348884381339,24,60,16
2204,302,279,0,2259,317,330,3,9,Carlton,102.495462794918,24,60,15
2261,299,320,1,2522,327,367,5,9,Essendon,111.543564794339,25,58,15
2178,282,282,1,2424,316,357,7,9,Geelong,111.29476584022,23,54,13
2011,265,231,1,1977,291,291,10,11,Hawthorn,98.3092988562904,23,46,11
1944,258,284,0,2282,281,333,14,11,Richmond,117.38683127572,22,44,11
2033,251,265,0,2053,297,298,15,12,"St Kilda",100.983767830792,22,40,10
2142,282,271,0,2203,310,322,4,13,Collingwood,102.847805788982,22,36,9
2327,269,259,0,2233,343,329,1,14,Adelaide,95.9604641168887,22,32,8
1983,249,288,0,1830,289,257,6,15,Fremantle,92.2844175491679,22,28,7
2463,273,225,0,1743,365,253,11,15,Melbourne,70.7673568818514,22,28,7
2139,261,214,1,1654,313,240,18,16,"Western Bulldogs",77.325853202431,22,22,5
2935,307,216,0,1452,438,206,19,21,Fitzroy,49.4718909710392,22,4,1
