against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1821,297,262,1,2242,254,330,16,5,Sydney,123.119165293795,23,66,17
2053,241,359,0,2657,302,383,12,6,"North Melbourne",129.420360448125,23,64,17
1831,259,283,1,2275,262,332,2,6,"Brisbane Lions",124.249044238121,23,62,16
1828,232,280,0,2326,266,341,17,7,"West Coast",127.242888402626,23,60,16
2034,288,266,0,2186,291,320,3,8,Carlton,107.472959685349,23,60,15
2124,270,299,1,2309,309,335,5,8,Essendon,108.709981167608,23,58,14
2178,282,282,1,2424,316,357,7,9,Geelong,111.29476584022,23,54,13
2011,265,231,1,1977,291,291,10,11,Hawthorn,98.3092988562904,23,46,11
1944,258,284,0,2282,281,333,14,11,Richmond,117.38683127572,22,44,11
2033,251,265,0,2053,297,298,15,12,"St Kilda",100.983767830792,22,40,10
2142,282,271,0,2203,310,322,4,13,Collingwood,102.847805788982,22,36,9
2327,269,259,0,2233,343,329,1,14,Adelaide,95.9604641168887,22,32,8
1983,249,288,0,1830,289,257,6,15,Fremantle,92.2844175491679,22,28,7
2463,273,225,0,1743,365,253,11,15,Melbourne,70.7673568818514,22,28,7
2139,261,214,1,1654,313,240,18,16,"Western Bulldogs",77.325853202431,22,22,5
2935,307,216,0,1452,438,206,19,21,Fitzroy,49.4718909710392,22,4,1
