against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1837,331,303,2,2367,251,344,3,4,Carlton,128.851388132825,24,74,18
2348,380,368,1,2804,328,406,14,4,Richmond,119.420783645656,25,72,20
1994,302,309,1,2523,282,369,4,9,Collingwood,126.529588766299,24,58,14
1857,303,324,0,2196,259,312,15,8,"St Kilda",118.255250403877,24,56,16
2264,314,330,0,2388,325,343,5,9,Essendon,105.47703180212,23,56,14
2050,280,333,0,2277,295,324,10,9,Hawthorn,111.073170731707,22,52,13
2038,304,292,0,1930,289,273,18,11,"Western Bulldogs",94.7006869479882,22,44,11
1929,273,303,0,2043,276,290,11,12,Melbourne,105.909797822706,22,40,10
2062,286,305,0,1997,296,282,19,13,Fitzroy,96.8477206595538,22,36,9
2369,305,284,0,1994,344,285,7,15,Geelong,84.1705360911777,22,28,7
2323,283,277,0,1513,340,206,16,20,Sydney,65.1312957382695,22,8,2
2589,339,272,0,1628,375,226,12,21,"North Melbourne",62.8814213982233,22,4,1
