against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1851,267,284,0,2330,264,341,16,6,Sydney,125.877903835764,24,68,18
1890,252,319,0,2065,273,291,13,8,"Port Adelaide",109.259259259259,24,64,16
1982,248,256,0,2302,289,341,7,8,Geelong,116.145307769929,24,60,16
1952,290,226,0,2116,277,315,9,9,"Greater Western Sydney",108.401639344262,24,60,15
1818,228,321,1,2229,265,318,2,8,"Brisbane Lions",122.607260726073,24,58,15
1835,221,307,0,2233,269,321,18,10,"Western Bulldogs",121.689373297003,24,56,14
1825,235,269,0,2189,265,320,10,9,Hawthorn,119.945205479452,24,56,15
2051,257,260,0,2222,299,327,3,11,Carlton,108.337396392004,24,52,13
1943,245,263,2,1991,283,288,4,9,Collingwood,102.470406587751,23,52,12
1755,237,248,1,1964,253,286,6,10,Fremantle,111.908831908832,23,50,12
2024,236,242,1,1892,298,275,5,11,Essendon,93.4782608695652,23,46,11
1758,240,224,0,1748,253,254,15,12,"St Kilda",99.4311717861206,23,44,11
1943,221,239,0,1925,287,281,8,12,"Gold Coast",99.0735975295934,23,44,11
1812,246,231,0,1785,261,259,11,12,Melbourne,98.5099337748344,23,44,11
1923,279,232,1,1906,274,279,1,14,Adelaide,99.1159646385855,23,34,8
2339,257,220,0,1594,347,229,17,18,"West Coast",68.1487815305686,23,20,5
2550,306,155,0,1619,374,244,12,20,"North Melbourne",63.4901960784314,23,12,3
2364,270,239,0,1505,349,211,14,21,Richmond,63.663282571912,23,8,2
