against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1910,278,295,0,2425,272,355,16,6,Sydney,126.96335078534,25,68,19
2057,269,339,0,2199,298,310,13,9,"Port Adelaide",106.903257170637,26,64,17
2077,259,269,0,2387,303,353,7,9,Geelong,114.925373134328,25,60,16
2057,305,236,0,2216,292,330,9,10,"Greater Western Sydney",107.729703451629,25,60,15
2003,251,347,1,2429,292,347,2,8,"Brisbane Lions",121.26809785322,26,58,17
1835,221,307,0,2233,269,321,18,10,"Western Bulldogs",121.689373297003,24,56,14
1900,244,275,0,2261,276,331,10,10,Hawthorn,119,25,56,15
2051,257,260,0,2222,299,327,3,11,Carlton,108.337396392004,24,52,13
1943,245,263,2,1991,283,288,4,9,Collingwood,102.470406587751,23,52,12
1755,237,248,1,1964,253,286,6,10,Fremantle,111.908831908832,23,50,12
2024,236,242,1,1892,298,275,5,11,Essendon,93.4782608695652,23,46,11
1758,240,224,0,1748,253,254,15,12,"St Kilda",99.4311717861206,23,44,11
1943,221,239,0,1925,287,281,8,12,"Gold Coast",99.0735975295934,23,44,11
1812,246,231,0,1785,261,259,11,12,Melbourne,98.5099337748344,23,44,11
1923,279,232,1,1906,274,279,1,14,Adelaide,99.1159646385855,23,34,8
2339,257,220,0,1594,347,229,17,18,"West Coast",68.1487815305686,23,20,5
2550,306,155,0,1619,374,244,12,20,"North Melbourne",63.4901960784314,23,12,3
2364,270,239,0,1505,349,211,14,21,Richmond,63.663282571912,23,8,2
