against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1962,270,366,0,2934,282,428,10,3,Hawthorn,149.54128440367,24,76,21
2062,322,293,0,2543,290,375,5,7,Essendon,123.326867119302,25,68,18
2448,360,434,0,3452,348,503,7,8,Geelong,141.013071895425,26,64,18
2185,301,307,0,2077,314,295,11,9,Melbourne,95.0572082379863,24,56,15
2075,287,330,0,2304,298,329,4,10,Collingwood,111.036144578313,23,52,13
2125,277,269,0,2069,308,300,19,10,Fitzroy,97.3647058823529,22,48,12
1958,320,309,0,1959,273,275,16,11,Sydney,100.051072522983,22,44,11
2079,303,259,1,1921,296,277,3,12,Carlton,92.4001924001924,22,38,9
2301,309,297,0,2061,332,294,12,13,"North Melbourne",89.5697522816167,22,36,9
2274,318,238,0,1792,326,259,2,14,"Brisbane Lions",78.8038698328936,22,32,8
2247,291,304,0,1948,326,274,17,15,"West Coast",86.6933689363596,22,28,7
2502,288,266,0,2108,369,307,15,15,"St Kilda",84.2525979216627,22,28,7
1855,283,276,1,1614,262,223,18,15,"Western Bulldogs",87.0080862533693,22,26,6
2434,316,297,0,1725,353,238,14,17,Richmond,70.8709942481512,22,20,5
