against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
2366,308,364,0,2752,343,398,12,7,"North Melbourne",116.314454775993,25,64,18
2231,257,317,0,2567,329,375,18,8,"Western Bulldogs",115.060510981623,24,60,16
2193,297,299,0,2315,316,336,11,9,Melbourne,105.563155494756,25,56,16
2324,290,255,0,2439,339,364,16,9,Sydney,104.948364888124,24,56,15
2108,308,343,0,2599,300,376,1,10,Adelaide,123.292220113852,26,52,16
2300,338,269,0,2291,327,337,15,11,"St Kilda",99.6086956521739,24,52,13
2153,329,270,0,2310,304,340,5,11,Essendon,107.292150487692,23,48,12
1894,262,281,0,1991,272,285,17,11,"West Coast",105.121436114044,23,48,12
1926,234,266,0,2018,282,292,14,10,Richmond,104.776739356179,22,48,12
2017,253,272,1,1928,294,276,13,12,"Port Adelaide",95.5875061973228,22,38,9
2109,273,260,0,2018,306,293,3,13,Carlton,95.6851588430536,22,36,9
1963,253,253,0,1777,285,254,7,13,Geelong,90.5247070809985,22,36,9
2083,253,258,0,1992,305,289,10,14,Hawthorn,95.6313010081613,22,32,8
2167,295,258,0,1968,312,285,4,15,Collingwood,90.8167974157822,22,28,7
2277,237,233,0,1739,340,251,6,15,Fremantle,76.3724198506807,22,28,7
2453,305,294,1,1860,358,261,2,16,"Brisbane Lions",75.8255197717081,22,22,5
