against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
2177,281,330,0,2568,316,373,12,6,"North Melbourne",117.960496095544,23,64,17
2070,240,302,0,2474,305,362,18,7,"Western Bulldogs",119.51690821256,23,60,16
2230,280,248,0,2372,325,354,16,8,Sydney,106.367713004484,23,56,15
2023,271,270,0,2124,292,309,11,8,Melbourne,104.992585269402,23,56,15
1878,264,301,0,2239,269,323,1,10,Adelaide,119.222577209798,23,52,13
2193,321,255,0,2235,312,330,15,10,"St Kilda",101.915184678523,23,52,13
2153,329,270,0,2310,304,340,5,11,Essendon,107.292150487692,23,48,12
1894,262,281,0,1991,272,285,17,11,"West Coast",105.121436114044,23,48,12
1926,234,266,0,2018,282,292,14,10,Richmond,104.776739356179,22,48,12
2017,253,272,1,1928,294,276,13,12,"Port Adelaide",95.5875061973228,22,38,9
2109,273,260,0,2018,306,293,3,13,Carlton,95.6851588430536,22,36,9
1963,253,253,0,1777,285,254,7,13,Geelong,90.5247070809985,22,36,9
2083,253,258,0,1992,305,289,10,14,Hawthorn,95.6313010081613,22,32,8
2167,295,258,0,1968,312,285,4,15,Collingwood,90.8167974157822,22,28,7
2277,237,233,0,1739,340,251,6,15,Fremantle,76.3724198506807,22,28,7
2453,305,294,1,1860,358,261,2,16,"Brisbane Lions",75.8255197717081,22,22,5
