against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1764,264,358,0,2632,250,379,10,3,Hawthorn,149.206349206349,24,76,21
1804,262,353,0,2447,257,349,15,8,"St Kilda",135.643015521064,25,64,17
2075,299,327,0,2517,296,365,14,7,Richmond,121.301204819277,24,64,17
1961,263,302,1,2408,283,351,4,8,Collingwood,122.794492605813,23,58,14
2014,286,291,0,2103,288,302,3,8,Carlton,104.41906653426,22,56,14
1915,265,337,0,2047,275,285,19,10,Fitzroy,106.892950391645,22,48,12
1791,255,300,1,1962,256,277,11,10,Melbourne,109.547738693467,22,46,11
2217,315,280,0,1966,317,281,18,11,"Western Bulldogs",88.6783942264321,22,44,11
2551,349,265,1,1705,367,240,12,16,"North Melbourne",66.8365346922775,22,22,5
2523,357,236,0,2072,361,306,7,17,Geelong,82.1244550138724,22,20,5
2252,320,271,1,1705,322,239,5,17,Essendon,75.7104795737122,22,18,4
2315,341,256,0,1618,329,227,16,19,Sydney,69.8920086393089,22,12,3
