against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1622,218,288,0,2250,234,327,1,6,Adelaide,138.717632552404,24,68,18
1889,227,302,0,2330,277,338,17,5,"West Coast",123.345685547909,23,68,18
1818,246,271,0,2095,262,304,16,8,Sydney,115.236523652365,24,60,16
1863,207,282,0,2472,276,365,15,8,"St Kilda",132.689210950081,23,56,15
2233,271,258,0,2130,327,312,12,10,"North Melbourne",95.3873712494402,23,52,13
2023,241,293,0,2303,297,335,7,11,Geelong,113.840830449827,24,48,13
2382,306,276,0,2232,346,326,11,11,Melbourne,93.7027707808564,23,48,12
2266,292,276,1,2232,329,326,13,11,"Port Adelaide",98.4995586937334,24,46,12
2351,299,273,0,2385,342,352,18,11,"Western Bulldogs",101.446193109315,22,44,11
2038,292,217,0,2041,291,304,6,11,Fremantle,100.147203140334,22,44,11
2164,286,255,0,2139,313,314,2,12,"Brisbane Lions",98.8447319778189,22,40,10
2190,252,258,0,2022,323,294,14,12,Richmond,92.3287671232877,22,40,10
2302,280,234,0,2118,337,314,5,14,Essendon,92.0069504778454,22,32,8
2317,259,224,0,1904,343,280,10,17,Hawthorn,82.1752265861027,22,20,5
2425,283,264,0,1884,357,270,4,17,Collingwood,77.6907216494845,22,20,5
2670,270,258,1,2016,400,293,3,17,Carlton,75.5056179775281,22,18,4
